Study_id,Study_name,country,ISO,admin1,Mul_admin1,time,age_l,age_u,age_mid,total,pos,neg
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,27,27,27.5,6,1,5
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,28,28,28.5,23,3,20
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,29,29,29.5,24,5,19
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,30,30,30.5,37,3,34
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,31,31,31.5,9,1,8
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,32,32,32.5,20,4,16
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,33,33,33.5,16,1,15
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,34,34,34.5,27,6,21
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,35,35,35.5,22,1,21
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,36,36,36.5,20,1,19
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,37,37,37.5,10,1,9
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,38,38,38.5,20,5,15
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,39,39,39.5,18,5,13
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,40,40,40.5,23,2,21
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,41,41,41.5,13,1,12
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,42,42,42.5,8,2,6
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,43,43,43.5,2,1,1
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,44,44,44.5,10,0,10
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,45,45,45.5,19,4,15
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,46,46,46.5,10,3,7
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,47,47,47.5,10,0,10
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,48,48,48.5,19,0,19
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,49,49,49.5,14,1,13
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,50,50,50.5,24,2,22
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,51,51,51.5,12,1,11
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,52,52,52.5,14,1,13
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,53,53,53.5,13,3,10
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,54,54,54.5,15,0,15
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,55,55,55.5,7,0,7
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,56,56,56.5,15,2,13
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,57,57,57.5,5,0,5
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,58,58,58.5,14,0,14
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,59,59,59.5,14,1,13
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,60,60,60.5,7,0,7
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,61,61,61.5,5,0,5
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,62,62,62.5,4,0,4
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,63,63,63.5,12,3,9
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,64,64,64.5,3,1,2
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,65,65,65.5,5,0,5
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,66,66,66.5,9,1,8
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,67,67,67.5,3,0,3
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,68,68,68.5,9,0,9
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,69,99,84.5,43,3,40
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,0,0,0.5,1,1,0
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,1,1,1.5,0,0,0
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,2,2,2.5,0,0,0
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,3,3,3.5,0,0,0
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,4,4,4.5,13,0,13
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,5,5,5.5,12,0,12
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,6,6,6.5,17,1,16
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,7,7,7.5,23,0,23
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,8,8,8.5,25,0,25
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,9,9,9.5,32,1,31
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,10,10,10.5,18,1,17
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,11,11,11.5,30,4,26
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,12,12,12.5,27,3,24
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,13,13,13.5,22,6,16
